date,event,open,high,low,close,volume
2022-05-18,left_rim,68300,68700,67600,68100,16486319
2022-09-29,cup_bottom,53300,53700,52600,52600,13882080
2023-04-13,right_rim,65600,66100,65400,66100,15091022
2023-04-25,handle_low,65300,65400,63400,63600,16193271
2023-05-19,breakout,67800,68400,67500,68400,20349345
2024-04-02,measured_target_reached,82900,85000,82900,85000,37077944
