date,open,high,low,close,volume
2021-08-26,76100,76200,74600,74600,16671494
2021-08-27,74300,75000,73800,74300,15172748
2021-08-30,75400,75500,74200,74600,12686999
2021-08-31,74900,76700,74300,76700,24630370
2021-09-01,76700,77100,75900,76800,16114775
2021-09-02,76800,76800,75700,76000,15347486
2021-09-03,76400,76700,76000,76600,12096419
2021-09-06,76800,77600,76600,77300,12861180
2021-09-07,77100,77100,75900,76100,13239401
2021-09-08,76000,76400,75600,76300,11798147
2021-09-09,76400,76600,75000,75300,17600770
2021-09-10,75300,75600,74800,75300,10103212
2021-09-13,75200,76300,75100,76300,11397775
2021-09-14,77100,77700,76600,76600,18167057
2021-09-15,77400,77400,76400,77000,12829128
2021-09-16,77300,77400,76100,76100,13067622
2021-09-17,76300,77200,75900,77200,16289502
2021-09-23,77500,77600,76800,77400,17055590
2021-09-24,77600,77700,77100,77300,12247274
2021-09-27,77300,77700,77000,77700,11699798
2021-09-28,77700,77800,76200,76300,15406382
2021-09-29,74800,75300,73800,74100,23992458
2021-09-30,74300,74800,73700,74100,19919361
2021-10-01,73900,74000,72900,73200,15803395
2021-10-05,73000,73000,71400,72200,24013921
2021-10-06,72600,72800,71200,71300,18956962
2021-10-07,71600,72100,71300,71600,13683532
2021-10-08,72300,72400,71500,71500,14043287
2021-10-12,70700,70900,68700,69000,31001484
2021-10-13,68700,69600,68300,68800,24172015
2021-10-14,69000,69800,68800,69400,19520641
2021-10-15,70200,71000,70000,70100,18051612
2021-10-18,70200,70300,69200,70200,13486391
2021-10-19,70800,71000,70400,70600,9507991
2021-10-20,70700,71000,70200,70300,10151638
2021-10-21,70300,70600,70000,70200,10891094
2021-10-22,70000,70700,70000,70400,8395448
2021-10-25,69900,70600,69500,70200,10029621
2021-10-26,70600,71500,70400,71100,10528252
2021-10-27,71000,71000,70000,70100,10295316
2021-10-28,69500,72200,69500,70700,20644902
2021-10-29,71200,71600,69700,69800,17016151
2021-11-01,70200,70600,69900,69900,11503729
2021-11-02,70800,72200,70700,71500,16812570
2021-11-03,71700,71700,70100,70400,12770428
2021-11-04,71200,71600,70500,70600,11818987
2021-11-05,71600,71600,70200,70200,12667743
2021-11-08,70400,70600,69800,70600,11121981
2021-11-09,70300,71000,70100,70500,11159589
2021-11-10,70300,70900,70200,70200,9422009
2021-11-11,69900,70000,69600,69900,11489122
2021-11-12,70200,70900,69900,70600,10087450
2021-11-15,71700,71900,70900,71400,12420710
2021-11-16,71500,72000,71300,71300,10919239
2021-11-17,71300,71600,70600,70700,11027606
2021-11-18,70700,71000,70200,70200,10144957
2021-11-19,70400,71400,70100,71200,11954728
2021-11-22,73300,75200,73000,74900,27506623
2021-11-23,76000,76000,74500,75300,22029195
2021-11-24,76000,76200,74100,74800,15652305
2021-11-25,75100,75100,73600,73700,12559258
2021-11-26,73500,74100,72000,72300,13002242
2021-11-29,71700,73000,71400,72300,16682559
2021-11-30,73200,73900,70500,71300,30364841
2021-12-01,72000,74800,71600,74400,21954856
2021-12-02,73900,75800,73800,75800,23652940
2021-12-03,75600,76000,74100,75600,18330240
2021-12-06,75100,76700,74900,76300,16391250
2021-12-07,76100,77700,75600,77400,19232453
2021-12-08,78300,78600,77100,77400,21558340
2021-12-09,77400,78200,77000,78200,21604528
2021-12-10,77400,77600,76800,76900,9155219
2021-12-13,77200,78300,76500,76800,15038750
2021-12-14,76500,77200,76200,77000,10976660
2021-12-15,76400,77600,76300,77600,9584939
2021-12-16,78500,78500,77400,77800,11996128
2021-12-17,76800,78000,76800,78000,13108479
2021-12-20,77600,77800,76800,77100,11264375
2021-12-21,77900,78300,77500,78100,14245298
2021-12-22,78900,79400,78800,79400,17105892
2021-12-23,79800,80000,79300,79900,13577498
2021-12-24,80200,80800,80200,80500,12086380
2021-12-27,80600,80600,79800,80200,10783368
2021-12-28,80200,80400,79700,80300,18226325
2021-12-29,80200,80200,78500,78800,19794795
2021-12-30,78900,79500,78100,78300,14236700
2022-01-03,79400,79800,78200,78600,13502112
2022-01-04,78800,79200,78300,78700,12427416
2022-01-05,78800,79000,76400,77400,25470640
2022-01-06,76700,77600,76600,76900,12931954
2022-01-07,78100,78400,77400,78300,15163757
2022-01-10,78100,78100,77100,78000,9947422
2022-01-11,78400,79000,78000,78900,13221123
2022-01-12,79500,79600,78600,78900,11000502
2022-01-13,79300,79300,77900,77900,13889401
2022-01-14,77700,78100,77100,77300,10096725
2022-01-17,77600,77800,76900,77500,8785122
2022-01-18,77600,77800,76600,77000,9592788
2022-01-19,76500,76900,76100,76300,10598290
2022-01-20,76200,76700,75900,76500,9708168
2022-01-21,75800,75800,74700,75600,15774888
2022-01-24,75400,75800,74700,75100,13691134
2022-01-25,74800,75000,73200,74000,17766704
2022-01-26,73900,74400,73100,73300,12976730
2022-01-27,73800,74000,71300,71300,22274777
2022-01-28,71300,73700,71200,73300,21367447
2022-02-03,74900,74900,73300,73300,17744721
2022-02-04,74300,74600,73400,74000,12730034
2022-02-07,73500,73600,72400,73000,14240838
2022-02-08,73800,74200,73000,73500,11736666
2022-02-09,74300,74700,74000,74700,9699122
2022-02-10,75600,75800,74700,75400,17746033
2022-02-11,75000,75500,74600,74900,12205407
2022-02-14,74400,74500,73100,73700,13993255
2022-02-15,74100,74200,73100,73700,9320365
2022-02-16,74600,74900,74200,74800,10767386
2022-02-17,75000,75600,74500,75000,13605382
2022-02-18,74600,74800,73700,74300,10122226
2022-02-21,73200,74300,72600,74200,10489717
2022-02-22,73000,73400,72800,73400,11692469
2022-02-23,73800,73800,72800,73000,10397964
2022-02-24,72300,72300,71300,71500,15759283
2022-02-25,72100,72600,71900,71900,13168484
2022-02-28,71100,72100,71000,72100,17781783
2022-03-02,72300,72400,71500,71700,12481430
2022-03-03,72300,73100,72200,72900,13232638
2022-03-04,72700,72700,71200,71500,13409634
2022-03-07,70000,70600,69900,70100,18617138
2022-03-08,68800,70000,68700,69500,15828269
2022-03-10,70800,71200,70500,71200,21159248
2022-03-11,70500,70700,69700,70000,15787655
2022-03-14,70000,70200,69600,70200,9040993
2022-03-15,69800,70100,69500,69500,10258562
2022-03-16,70200,70500,69700,70400,10175750
2022-03-17,71200,71800,70900,71200,17646315
2022-03-18,70600,70900,70200,70700,14410038
2022-03-21,70900,71000,69900,69900,11169002
2022-03-22,69900,70500,69900,70300,9402666
2022-03-23,70600,71200,70300,70500,12398025
2022-03-24,69600,70300,69600,69800,37943357
2022-03-25,70100,70200,69600,69800,12986010
2022-03-28,69500,69900,69200,69700,12619289
2022-03-29,70000,70300,69800,70200,13686208
2022-03-30,70300,70500,69800,69900,12670187
2022-03-31,69900,70200,69600,69600,12510366
2022-04-01,69500,69500,69000,69100,15916846
2022-04-04,68900,69300,68600,69300,11107905
2022-04-05,69400,69600,69100,69200,8467248
2022-04-06,68600,68800,68500,68500,15517308
2022-04-07,68500,68500,68000,68000,20683327
2022-04-08,68100,68300,67700,67800,15453191
2022-04-11,67800,68100,67400,67900,12263735
2022-04-12,67600,67700,67000,67000,13924389
2022-04-13,67300,69000,67200,68700,17378619
2022-04-14,68700,68700,67500,67500,16409494
2022-04-15,67200,67300,66500,66600,13176415
2022-04-18,66500,67100,66100,66700,10119203
2022-04-19,67100,68000,67000,67300,12959434
2022-04-20,67000,67400,66500,67400,16693293
2022-04-21,67600,68300,67500,67700,12847448
2022-04-22,67200,67300,66700,67000,11791478
2022-04-25,66500,66700,66300,66300,11016474
2022-04-26,66400,66700,66100,66100,12946923
2022-04-27,65400,65500,64900,65000,18122084
2022-04-28,65400,65500,64500,64800,16895527
2022-04-29,65100,67600,65000,67400,26190390
2022-05-02,66600,67600,66500,67300,14106184
2022-05-03,67400,68400,67300,67500,14168875
2022-05-04,68000,68400,67500,67900,11505248
2022-05-06,67000,67100,66500,66500,14356156
2022-05-09,66300,66900,66100,66100,11858736
2022-05-10,65900,66300,65300,65700,17235605
2022-05-11,65500,66300,65200,65700,12330920
2022-05-12,65200,65500,64900,64900,16414188
2022-05-13,65300,66700,65200,66500,14551536
2022-05-16,67100,67400,66100,66300,11937555
2022-05-17,66600,67900,66600,67600,15680447
2022-05-18,68300,68700,67600,68100,16486319
2022-05-19,66500,67600,66500,67500,17073727
2022-05-20,67800,68400,67700,68000,12109671
2022-05-23,68800,68800,67600,67900,13684088
2022-05-24,67500,67700,66500,66500,15482576
2022-05-25,66700,67100,65900,66400,15150490
2022-05-26,66300,67200,65500,65900,15970890
2022-05-27,66700,66900,66200,66500,11405555
2022-05-30,67500,67800,66900,67700,14255484
2022-05-31,67500,67500,66700,67400,24365002
2022-06-02,66600,67000,66400,66700,14959443
2022-06-03,67200,67300,66800,66800,8222883
2022-06-07,66200,66400,65400,65500,19355755
2022-06-08,65400,65700,65300,65300,12483180
2022-06-09,65100,65200,64500,65200,25790725
2022-06-10,64000,64400,63800,63800,22193552
2022-06-13,62400,62800,62100,62100,22157816
2022-06-14,61200,62200,61100,61900,24606419
2022-06-15,61300,61500,60200,60700,26811224
2022-06-16,61300,61800,60500,60900,23394895
2022-06-17,59400,59900,59400,59800,29053450
2022-06-20,59800,59900,58100,58700,34111306
2022-06-21,58700,59200,58200,58500,25148109
2022-06-22,59000,59100,57600,57600,23334687
2022-06-23,57700,58000,56800,57400,28338608
2022-06-24,57900,59100,57700,58400,23256103
